--------------------------------------------------【Header】--------------------------------------------------
2022-05-11 10:13:51,196 WARN  [35408-1] Program.Main  开放Zyan端口15092成功  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Program.cs(102行)
2022-05-11 10:13:51,359 INFO  [35408-6] DisplayInfo  DisplayInformation.GetDisplayMonitorsAsync() 获取到设备数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(63行)
2022-05-11 10:13:51,382 INFO  [35408-6] DisplayInfo  [{"DeviceInstanceId":"DISPLAY\\CSO1609\\5&14475071&0&UID4357","DisplayName":"","IsInternal":true,"ConnectionDescription":"Internal","PhysicalSize":16.0043125}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(65行)
2022-05-11 10:13:51,383 INFO  [35408-6] DisplayInfoGet   DisplayInfo.GetDisplayMonitorsAsync()获取到显示器数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(48行)
2022-05-11 10:13:51,389 INFO  [35408-6] DisplayContext  EnumerateDevices() 开始获取显示器枚举信息  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(73行)
2022-05-11 10:13:51,391 INFO  [35408-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-05-11 10:13:51,392 INFO  [35408-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-05-11 10:13:51,394 INFO  [35408-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-05-11 10:13:51,394 INFO  [35408-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-05-11 10:13:51,395 INFO  [35408-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-05-11 10:13:51,395 INFO  [35408-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-05-11 10:13:51,396 INFO  [35408-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-05-11 10:13:51,396 INFO  [35408-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-05-11 10:13:51,399 INFO  [35408-6] DisplayInfoGet  [{"DeviceInstanceId":"DISPLAY\\CSO1609\\5&14475071&0&UID4357","Description":"Lenovo DisplayHDR","DisplayIndex":1,"MonitorIndex":0}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(52行)
2022-05-11 10:13:51,401 INFO  [35408-6] DisplayInfoGet  GetDisplayList()获取到显示器数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(89行)
